C0021270,baby
C0040223,time
C1527305,feel
C0242664,husband
C0043227,work
C0442519,home
C0004600,back
C0439230,weeks
C0032961,pregnancy
C0332173,day
C0027361,people
C1272689,started
C1140999,contractions
C0439227,hours
C0039869,thought
C0037313,sleep
C0031831,doctor
C0439234,years
C0680063,kids
C0240526,night
C0019994,hospital
C0549206,pregnant
C0243095,finding
C0011011,daughter
C0332174,week
C0030193,pain
C0005615,birth
C0549177,great
C0008059,child
C0237607,experience
C1444647,wanted
C0233763,see things
C0015576,family
C4733122,told fmri
C0439659,start
C0079382,friends
C0947322,make
C0024028,love
C0439231,months
C0205170,good
C0439232,minutes
C0043210,girl
C0439228,days
C0006147,breastfeeding
C0028661,nurse
C1551338,thing
C1283174,check
C0030551,parents
C0205197,completely
C0205166,long
C0010222,couple
C0037683,son
C0022864,labor
C1442163,mom
C0310367,today
C0037817,talk
C0003629,appointment
C0010399,crying
C0015726,scared
C0018599,hard
C0332170,morning
C0376558,life
C0018592,happy
C1709305,happened
C0332177,month
C0679006,call
C0026591,mother
C1552961,point
C0228134,epidural
C0150312,found
C0034754,reading
C0041618,ultrasound
C1706081,leave
C0027552,needed
C0233481,worried
C1115660,lot
C0013470,eating
C0332307,kind
C0205169,bad
C3853088,pretty bad
C0003467,anxiety
C1547120,room
C0032214,play
C1882509,put
C0026083,midwife
C1474254,felt fern
C1417589,mader
C0587267,close
C0541749,turned
C0549178,continue
C0700321,small
C0018670,head
C0036375,school
C0205263,induction
C0205307,normal
C1947971,give
C0150600,advice
C0004916,bed
C0560560,move
C0043047,water
C0205115,coming
C0580931,care
C0392347,hope
C0005767,blood
C0521008,screaming
C0045724,bit
C0179376,bottle
C0162340,understand
C1279919,early
C0205548,immediately
C0205250,high
C0442504,place
C0022885,test
C0185026,tucking
C0221423,sick
C0277814,sitting
C0205091,left
C0678226,due
C1948059,constantly
C0028811,job
C0015264,effort
C1548670,not asked
C0682053,toddler
C0013227,medication
C0443225,full
C0086960,schedule
C1539977,find
C0237876,share
C0229992,mind
C0003023,ago
C0541748,shower
C0015672,tired
C1148523,born
C0868928,case situation
C0687676,post
C0449719,part
C0205088,final
C0018787,heart
C0080331,walk
C0018767,hear
C0033213,issue
C3898900,healthy
C1276425,pushing
C0205403,extremely
C1521721,supported
C3827840,terrible
C1707391,pick
C0034866,recommended
C0392360,reason
C0392747,changing
C0005910,weight
C0007876,c section
C0033095,pressure
C0034770,remember
C0021289,newborn
C0183683,support
C0182537,pumping
C0009072,clothes
C0242665,wife
C0025320,change
C0205232,fine
C0180416,diaper
C0016452,food
C0086839,postpartum
C0082420,end
C0018616,hate
C0227230,body
C0164063,super c
C1705501,formula
C0018563,hand
C0237400,real
C0337514,sister
